date,kwh
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-08-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
2020-09-01,0.25
